archetype,optimism,id,narr-age,narr-family type,narr-duration,narr-spending,narr-env,narr-env_note,narr-income,narr-debt_note,narr-mortgage percent,narr-credit,prm-house sqft,prm-lot sqft,prm-house age,prm-step,prm-suite,prm-reno_plan,prm-wall_type,prm-wall_age,prm-window_type,prm-window_age,prm-roof_type,prm-roof_age,prm-heat_eff,prm-heat_fuel,prm-heat_age,prm-dhw_eff,prm-dhw_fuel,prm-dhw_age,prm-cool_eff,prm-cool_fuel,prm-cool_age,prm-leakage,prm-maintenance,prm-asbestos
vs,1,vs1,75-84,couple,34,frugal,some,,retired,none mentioned,0,none mentioned,2600,4000,44,1,no,no,2x4 batt R13,19,single 0.48,19,blown R15,19,0.85,ng,8,0.85,ng,10,none,none,none,leaky,average,yes
vs,2,vs2,45-54,couple,5,thrifty,none,,below average,none mentioned,10,good,2600,4000,44,1,no,no,2x4 batt R13,19,single 0.48,19,blown R15,19,0.85,ng,29,0.85,ng,8,none,none,none,leaky,never,no
vs,3,vs3,45-54,couple,5,thrifty,none,,average,none mentioned,10,good,2600,4000,44,1,no,no,2x4 batt R13,19,single 0.48,19,blown R15,19,0.85,ng,8,0.85,ng,8,none,none,none,leaky,average,no
vs,4,vs4,45-54,couple,5,thrifty,intense,,above average,none mentioned,0,good,2600,4000,44,1,no,no,2x4 batt R13,19,single 0.48,19,blown R15,19,0.85,ng,29,0.85,ng,29,none,none,none,leaky,average,no
vs,5,vs5,45-54,couple+kids+other,7,thrifty,intense,,above average,none mentioned,32,good,2600,4000,44,1,no,yes,2x4 batt R13,19,single 0.48,19,blown R15,19,0.85,ng,8,0.85,ng,8,none,none,none,leaky,average,no
vs,6,vs6,55-64,couple,13,thrifty,intense,,above average,none mentioned,25,excellent,2600,4000,44,1,no,yes,2x4 batt R13,19,single 0.48,19,blown R15,19,0.85,ng,19,0.85,ng,19,none,none,none,leaky,well maintained,no
mp,1,mp1,45-54,single+kids,15,thrifty,none,Environmental benefits do not factor into their decision making unless they are adding tangible value or providing relatively quick savings.,above average,40% of net monthly income goes to mortgage,40,fair,2100,4000,67,1,no,no,2x4 batt R13,14,double 0.48,14,blown R15,22,0.75,ng,22,0.75,ng,22,none,none,none,leaky,poor,no
mp,2,mp2,65-74,couple+kids,25,thrifty,none,Environmental benefits do not factor into their decision making unless they are adding monetary value to the property or providing relatively quick savings.,below average,none mentioned,5,good,2100,4000,67,1,no,no,2x4 batt R13,14,double 0.48,29,blown R15,29,0.75,ng,29,0.75,ng,29,none,none,none,leaky,average,yes
mp,3,mp3,35-44,couple,0,thrifty,none,,above average,40% of net monthly income goes to mortgage,40,good,2100,4000,67,1,no,yes,2x4 batt R13,14,double 0.48,14,blown R15,22,0.75,ng,22,0.75,ng,22,none,none,none,leaky,average,yes
mp,4,mp4,35-44,couple+kids,0,frugal,some,They factor reducing their environmental footprint in purchasing of goods.,average,40% of net monthly income goes to mortgage,40,good,2100,4000,67,1,no,yes,2x4 batt R13,14,double 0.48,14,blown R15,22,0.75,ng,22,0.75,ng,22,none,none,none,leaky,poor,no
