unique_id,respondent,id,archetype,narr-age,narr-family type,narr-duration,narr-spending,narr-env,narr-income,narr-mortgage percent,narr-credit,prm-house sqft,prm-lot sqft,prm-house age,prm-step,prm-suite,prm-reno_plan,prm-wall_type,prm-wall_age,prm-window_type,prm-window_age,prm-roof_type,prm-roof_age,prm-heat_eff,prm-heat_fuel,prm-heat_age,prm-dhw_eff,prm-dhw_fuel,prm-dhw_age,prm-cool_eff,prm-cool_fuel,prm-cool_age,prm-leakage,prm-maintenance,prm-asbestos,prm_derived_FAR,expqual-field,expqual-field_years,expqual-step_familiar,expqual-market_familiar,resp-likert_step2,resp-likert_step3,resp-likert_step4,resp-likert_step5,resp-likert_higheff,resp-retrofit_teardown_neither,resp-likert_carbon2050,resp-policy1,resp-policy2,resp-policy3,resp-confidence,binary-policyopt1,binary-policyopt2,binary-policyopt3,binary-policyopt4,binary-policyopt5,binary-policyopt6,binary-policyopt7,binary-policyopt8,binary-policyopt9,binary-policyopt10,binary-policyopt11,optimism_int,resp-influential_param,resp-additional_info
29mp6,29,mp6,1,4,1,4,1,3,2,1,1,1,2,2,1,0,0,1,3,1,5,1,5,1,1,5,1,1,5,0,0,0,2,3,0,0.525,7,4,1,6,6,4,2,1,3,2,5,1,6,8,3,1,0,0,0,0,1,0,1,0,0,0,6,"If this house were outside of Vancouver it would be unlikely that it would be carbon free once rebuilt, but given the city of Vancouver is more stringent policies around GHG intensity I expect it could be carbon free. If these people downsize and sell a new owner would likely demolish the house the small when there is the potential to build more square footage on the same lot.",no response
7mp6,7,mp6,1,4,1,4,1,3,2,1,1,1,2,2,1,0,0,1,3,1,5,1,5,1,1,5,1,1,5,0,0,0,2,3,0,0.525,7,1,6,3,5,6,2,1,3,2,1,1,2,8,2,1,1,0,0,0,0,0,1,0,0,0,6,"Energy Step Code Metrics, Vancouver single family housing market stats, housing renovation trends, information about home owner preference and choices.",no response
29sb3,29,sb3,2,6,1,4,1,1,3,1,9,5,3,4,1,0,0,1,5,2,5,1,5,1,1,5,3,2,1,0,0,0,3,3,0,0.6428571428571429,7,4,1,6,3,2,1,1,2,2,3,1,6,8,3,1,0,0,0,0,1,0,1,0,0,0,3,Even relatively new homes like this often end up getting demolished when their owners sell.,no response
16sb3,16,sb3,2,6,1,4,1,1,3,1,9,5,3,4,1,0,0,1,5,2,5,1,5,1,1,5,3,2,1,0,0,0,3,3,0,0.6428571428571429,10,3,7,6,5,5,3,2,5,2,6,10,6,11,4,0,0,0,0,0,1,0,0,0,1,1,3,"Age of the homeowners, and likelihood that new owners will demolish and rebuild, given the very high land value of the property.","This type of house is in a 'dead zone' of retrofit potential. Unlike a Vancouver Special, it doesn't have any nostalgic value. In fact, it likely represents an 'unfavoured' era of Vancouver's single family home architecture/design/development. As a result, I find it unlikely that it will be retrofitted/renovated. It is a classic candidate for demo/rebuild."
8sb3,8,sb3,2,6,1,4,1,1,3,1,9,5,3,4,1,0,0,1,5,2,5,1,5,1,1,5,3,2,1,0,0,0,3,3,0,0.6428571428571429,7,6,6,6,5,4,1,1,3,3,3,4,6,8,3,0,0,0,1,0,1,0,1,0,0,0,3,The house will be sold and the new owner may do some minor upgrade,no response
29wc2,29,wc2,3,1,3,1,2,2,3,2,3,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,1,2,1,4,4,0,0.7,7,4,1,6,7,2,1,1,4,3,7,1,4,8,4,1,0,0,1,0,0,0,1,0,0,0,2,Assuming the electricity grid continues to move towards zero carbon this home will already be there by 2050 given its electrical HVAC systems. It is unlikely to be redeveloped by 2050 and given the architecture and already efficient systems it would be difficult to bump it up the step code scale especially to the highest levels.,no response
28vs1,28,vs1,4,6,1,5,1,2,4,1,9,2,2,3,1,0,0,1,4,2,4,1,4,2,1,2,2,1,2,0,0,0,2,3,1,0.65,1,6,7,6,3,1,1,1,3,3,1,1,4,6,4,1,0,0,1,0,1,0,0,0,0,0,1,knowledge of Vancouver special construction; knowledge of effort & cost required to achieve a high performance retrofit,"the driving force is not likely the energy savings - need to make it fashionable to upgrade - i.e. lifestyle imagery to make it socially valuable to upgrade incorporating the technical/performance features.
we need to recognize that upgrades can only be mandated at time that some more significant work is done - it's not possible to mandate work be done just for the sake of making energy upgrades - and then, the cost of retrofits can be daunting for homeowners who are generally more interested in the cosmetic and comfort issues than simply performance issues."
19vs1,19,vs1,4,6,1,5,1,2,4,1,9,2,2,3,1,0,0,1,4,2,4,1,4,2,1,2,2,1,2,0,0,0,2,3,1,0.65,1,3,6,5,7,6,4,1,4,2,1,2,6,7,4,0,1,0,0,0,1,1,0,0,0,0,1,"Systems - though upgraded - are still low performance. Owner's age and financial situation makes retrofit less desirable. I selected 'neutral' in response to that question to reflect a possible opportunity to improve envelope performance when upgrading acoustic performance of the rental suite...and because elderly get cold more easily and retrofit would reduce energy bills - a boomer value (I say that partially tongue-in-cheek, but partly serious). Asbestos remediation might also be a driver, if a suspected connection to a decline in their health...though having lived with it for so long, they would be less motivated, than say a family with kids or expecting. (A transition to entry-level supported living might be more viable, but on the other hand, social isolation is a killer and they sound invested in their community, so would likely be motivated to stay in the neighbourhood). Any helper suite retrofit would likely be piecemeal at best...unless incentives offered to make a comprehensive retrofit viable - a notable 'if'. Given their age and Vancouver's steadily growing demographic and rising inflation, demolition and rebuilding is more likely (unless alternatives incentivized). While the new home may be designed to net zero, the significant expenditure in embodied carbon would negatively impact the critical reductions needed between now and 2030 / 2050.","Not having read this question before responding to the above, I added most of my qualifiers into the previous text response field. As an architect, I would add that while disregarded by many stylistically (for good reason), they can have good bones for modern renovations. That said, these protagonists are very unlikely candidates for such an investment.

Motivation for the three recommended incentive strategies was based on the fact that these protagonists would likely value financial viability and ease of implementation over any others.

Oh, and answers to the 'likeliness of achieving various step code levels by 2035' question reflect responses to subsequent questions about retrofit likelihood. (I had initially filled them out negating these factors, but that would seem to lessen the value of the speculative exercise). A prompt to confirm what you're looking for there would help respondents put any doubts to rest."
28sb4,28,sb4,2,4,3,4,1,2,3,1,1,5,3,4,1,0,1,1,5,2,5,1,5,1,1,5,3,2,1,0,0,0,3,3,0,0.6428571428571429,1,6,7,6,3,2,1,1,4,3,1,1,4,6,4,1,0,0,1,0,1,0,0,0,0,0,4,construction specs are at or even below minimum code requirements at time of construction,"this is a newer house, well maintained, so the cost of retrofits to high step code level would be daunting - it would require high cost and virtually a whole house make-over - not likely to happen with this couple, given condition of house. 
Achieving a high step code level would more likely happen if the house were completely re-built."
15sb4,15,sb4,2,4,3,4,1,2,3,1,1,5,3,4,1,0,1,1,5,2,5,1,5,1,1,5,3,2,1,0,0,0,3,3,0,0.6428571428571429,5,3,7,6,5,5,5,5,5,1,5,2,3,4,3,0,1,1,1,0,0,0,0,0,0,0,4,Vancouver's real estate market and CoV focus on Sustainability,they might choose to upgrade their windows to higher energy efficiency and lower solar heat gain coeffs (depending on what the model says about overheating). Upgrade to heat pump with cooling as necessary.
